%0.008544482743	0.09299271545	0.1120859617
%0.995100995	0.9515722038	0.9484125792
%Normed hits	Normed Secret Hits	Normed L_Privacy Hits
0.9823943662	0.8626760563	0.7887323944
0.9824561404	0.8631578947	0.7894736842
0.979020979	0.8636363636	0.7902097902
0.9790940767	0.8641114983	0.7909407666
0.9791666667	0.8645833333	0.7916666667
0.9792387543	0.8650519031	0.7923875433
0.9793103448	0.8655172414	0.7931034483
0.9793814433	0.8659793814	0.793814433
0.9794520548	0.8664383562	0.7945205479
0.9795221843	0.866894198	0.795221843
0.9795918367	0.8673469388	0.7959183673
0.9796610169	0.8677966102	0.7966101695
0.9797297297	0.8682432432	0.7972972973
0.9797979798	0.8686868687	0.797979798
0.9798657718	0.8691275168	0.7986577181
0.9799331104	0.8695652174	0.7993311037
0.98	0.87	0.8
0.9800664452	0.8704318937	0.8006644518
0.9801324503	0.8708609272	0.8013245033
0.9801980198	0.8712871287	0.801980198
0.9802631579	0.8717105263	0.8026315789
0.9803278689	0.8721311475	0.8032786885
0.9803921569	0.8725490196	0.8039215686
0.9804560261	0.8729641694	0.8045602606
0.9805194805	0.8733766234	0.8051948052
0.9805825243	0.8737864078	0.8058252427
0.9806451613	0.8741935484	0.8064516129
0.9807073955	0.8745980707	0.807073955
0.9807692308	0.875	0.8076923077
0.9808306709	0.875399361	0.8083067093
0.9808917197	0.8757961783	0.8089171975
0.980952381	0.8761904762	0.8095238095
0.9810126582	0.8765822785	0.8101265823
0.9810725552	0.8769716088	0.8107255521
0.9811320755	0.8773584906	0.8113207547
0.9811912226	0.8777429467	0.8119122257
0.98125	0.878125	0.8125
0.9813084112	0.8785046729	0.8130841121
0.9813664596	0.8788819876	0.8136645963
0.9814241486	0.8792569659	0.8142414861
0.9814814815	0.8796296296	0.8148148148
0.9815384615	0.88	0.8153846154
0.981595092	0.8803680982	0.8159509202
0.9816513761	0.880733945	0.8165137615
0.9817073171	0.881097561	0.8170731707
0.9817629179	0.8814589666	0.8176291793
0.9818181818	0.8818181818	0.8181818182
0.9818731118	0.8821752266	0.8187311178
0.9819277108	0.8825301205	0.8192771084
0.981981982	0.8828828829	0.8198198198
0.9820359281	0.8832335329	0.8203592814
0.9820895522	0.8835820896	0.8208955224
0.9791666667	0.8839285714	0.8214285714
0.9762611276	0.884272997	0.821958457
0.9763313609	0.8846153846	0.8224852071
0.9764011799	0.8849557522	0.8230088496
0.9764705882	0.8852941176	0.8235294118
0.9765395894	0.8856304985	0.8240469208
0.9766081871	0.8859649123	0.8245614035
0.9766763848	0.8862973761	0.8250728863
0.976744186	0.886627907	0.8255813953
0.9768115942	0.8869565217	0.8260869565
0.9768786127	0.887283237	0.8265895954
0.976945245	0.8876080692	0.8270893372
0.9770114943	0.8879310345	0.8275862069
0.9770773639	0.888252149	0.8280802292
0.9771428571	0.8885714286	0.8285714286
0.9772079772	0.8888888889	0.8290598291
0.9772727273	0.8892045455	0.8295454545
0.9773371105	0.8895184136	0.8300283286
0.9774011299	0.8898305085	0.8305084746
0.9774647887	0.8901408451	0.8309859155
0.9775280899	0.8904494382	0.8314606742
0.9775910364	0.8907563025	0.8319327731
0.9776536313	0.8910614525	0.8324022346
0.9777158774	0.8913649025	0.8328690808
0.9777777778	0.8916666667	0.8333333333
0.9778393352	0.891966759	0.8337950139
0.9779005525	0.8922651934	0.8342541436
0.9779614325	0.8925619835	0.8347107438
0.978021978	0.8928571429	0.8351648352
0.9780821918	0.8931506849	0.8356164384
0.9781420765	0.893442623	0.8360655738
0.9782016349	0.89373297	0.8365122616
0.9782608696	0.8940217391	0.8369565217
0.9783197832	0.8943089431	0.837398374
0.9783783784	0.8945945946	0.8378378378
0.9784366577	0.8948787062	0.8382749326
0.9784946237	0.8951612903	0.8387096774
0.9785522788	0.8954423592	0.8391420912
0.9786096257	0.8957219251	0.8395721925
0.9786666667	0.896	0.84
0.9787234043	0.8962765957	0.8404255319
0.9787798408	0.8965517241	0.8408488064
0.9788359788	0.8968253968	0.8412698413
0.9788918206	0.8970976253	0.8416886544
0.9789473684	0.8973684211	0.8421052632
0.9790026247	0.8976377953	0.842519685
0.9790575916	0.8979057592	0.8429319372
0.9791122715	0.8981723238	0.8433420366
0.9791666667	0.8984375	0.84375
0.9792207792	0.8987012987	0.8441558442
0.9792746114	0.8989637306	0.8445595855
0.9793281654	0.8992248062	0.8449612403
