%0.02812780393	0.008043254952
%0.9960074568	0.9958844201
%Normed hits	Normed Secret Hits
0.9955555556	0.9822222222
0.9955752212	0.982300885
0.9955947137	0.9823788546
0.9956140351	0.9824561404
0.9956331878	0.9825327511
0.9956521739	0.9826086957
0.9956709957	0.9783549784
0.9956896552	0.974137931
0.9957081545	0.974248927
0.9957264957	0.9743589744
0.9957446809	0.9744680851
0.9957627119	0.9745762712
0.9957805907	0.9746835443
0.9957983193	0.974789916
0.9958158996	0.9748953975
0.9958333333	0.975
0.9958506224	0.9751037344
0.9958677686	0.9752066116
0.9917695473	0.975308642
0.9918032787	0.9754098361
0.9918367347	0.9755102041
0.9918699187	0.9756097561
0.991902834	0.975708502
0.9919354839	0.9758064516
0.9919678715	0.9759036145
0.992	0.976
0.9920318725	0.9760956175
0.9920634921	0.9761904762
0.9920948617	0.976284585
0.9921259843	0.9724409449
0.9921568627	0.9725490196
0.9921875	0.97265625
0.9922178988	0.9727626459
0.992248062	0.9728682171
0.9922779923	0.972972973
0.9923076923	0.9730769231
0.9923371648	0.9731800766
0.9923664122	0.9732824427
0.9923954373	0.9733840304
0.9924242424	0.9696969697
0.9924528302	0.9698113208
0.992481203	0.969924812
0.9925093633	0.9700374532
0.9925373134	0.9701492537
0.9925650558	0.970260223
0.9925925926	0.9703703704
0.9926199262	0.9704797048
0.9926470588	0.9705882353
0.9926739927	0.9706959707
0.9927007299	0.9708029197
0.9927272727	0.9709090909
0.9927536232	0.9710144928
0.9927797834	0.9711191336
0.9928057554	0.9712230216
0.9928315412	0.9713261649
0.9928571429	0.9714285714
0.9928825623	0.9715302491
0.9929078014	0.9716312057
0.9929328622	0.9717314488
0.9929577465	0.9718309859
0.9929824561	0.9719298246
0.993006993	0.972027972
0.9930313589	0.9721254355
0.9930555556	0.9722222222
0.9930795848	0.9723183391
0.9931034483	0.9724137931
0.9931271478	0.9725085911
0.9931506849	0.9726027397
0.9931740614	0.9726962457
0.9931972789	0.9727891156
0.993220339	0.9728813559
0.9932432432	0.972972973
0.9932659933	0.9730639731
0.9932885906	0.9731543624
0.9933110368	0.9732441472
0.9933333333	0.9733333333
0.9933554817	0.9734219269
0.9933774834	0.9735099338
0.9933993399	0.9735973597
0.9934210526	0.9736842105
0.993442623	0.9737704918
0.9934640523	0.9738562092
0.993485342	0.9739413681
0.9935064935	0.974025974
0.9935275081	0.9741100324
0.9935483871	0.9741935484
0.9935691318	0.9742765273
0.9935897436	0.9743589744
0.9936102236	0.9744408946
0.9936305732	0.974522293
0.9936507937	0.9746031746
0.9936708861	0.9746835443
0.9936908517	0.9747634069
0.9937106918	0.9748427673
0.9937304075	0.9749216301
0.99375	0.975
0.9937694704	0.9750778816
0.9937888199	0.9751552795
0.9938080495	0.9752321981
0.9938271605	0.975308642
0.9938461538	0.9753846154
0.9938650307	0.9754601227
0.993883792	0.9755351682
0.993902439	0.9756097561
0.9939209726	0.9756838906
0.9939393939	0.9757575758
0.9939577039	0.9758308157
0.9939759036	0.9759036145
0.993993994	0.975975976
0.994011976	0.9760479042
0.9940298507	0.976119403
0.994047619	0.9761904762
0.9940652819	0.9762611276
0.9940828402	0.9763313609
0.994100295	0.9764011799
0.9941176471	0.9764705882
0.9941348974	0.9765395894
0.9941520468	0.9766081871
0.9941690962	0.9766763848
0.9941860465	0.976744186
0.9942028986	0.9768115942
0.9942196532	0.9768786127
0.9942363112	0.976945245
0.9942528736	0.9770114943
0.994269341	0.9770773639
0.9942857143	0.9771428571
0.9943019943	0.9772079772
0.9943181818	0.9772727273
0.9943342776	0.9773371105
0.9943502825	0.9774011299
0.9943661972	0.9774647887
0.9943820225	0.9775280899
0.9943977591	0.9775910364
0.9944134078	0.9776536313
0.9944289694	0.9777158774
0.9944444444	0.9777777778
0.9944598338	0.9778393352
0.9944751381	0.9779005525
0.9944903581	0.9779614325
0.9945054945	0.978021978
0.9945205479	0.9780821918
0.9945355191	0.9781420765
0.9945504087	0.9782016349
0.9945652174	0.9782608696
0.9945799458	0.9783197832
0.9945945946	0.9783783784
0.9946091644	0.9784366577
0.9946236559	0.9784946237
0.9946380697	0.9785522788
0.9946524064	0.9786096257
0.9946666667	0.9786666667
0.9946808511	0.9787234043
0.9946949602	0.9787798408
0.9947089947	0.9788359788
0.9947229551	0.9788918206
0.9947368421	0.9789473684
0.9947506562	0.9790026247
0.9947643979	0.9790575916
0.9947780679	0.9791122715
0.9947916667	0.9791666667
0.9948051948	0.9792207792
0.9948186528	0.9792746114
0.9948320413	0.9793281654
0.9948453608	0.9793814433
0.9948586118	0.9794344473
0.9948717949	0.9794871795
0.9948849105	0.9795396419
0.9948979592	0.9795918367
0.9949109415	0.9796437659
0.9949238579	0.9796954315
0.9949367089	0.9797468354
0.9949494949	0.9797979798
0.9949622166	0.9798488665
0.9949748744	0.9798994975
0.9949874687	0.9799498747
0.995	0.98
0.9950124688	0.9800498753
0.9950248756	0.9800995025
0.9950372208	0.9801488834
0.995049505	0.9801980198
0.9950617284	0.9802469136
0.9950738916	0.9802955665
0.9950859951	0.9803439803
0	1
0.5	1
0.6666666667	1
0.75	1
0.8	1
0.8333333333	1
0.8571428571	1
0.875	1
0.8888888889	1
0.9	1
0.9090909091	1
0.9166666667	1
0.9230769231	1
0.9285714286	1
0.9333333333	1
0.9375	1
0.9411764706	1
0.9444444444	1
0.9473684211	1
0.95	1
0.9523809524	1
0.9545454545	1
0.9565217391	1
0.9583333333	1
0.96	1
0.9615384615	1
0.962962963	1
0.9642857143	1
0.9655172414	1
0.9666666667	1
0.9677419355	1
0.96875	1
0.9696969697	1
0.9705882353	1
0.9714285714	1
0.9722222222	1
0.972972973	1
0.9736842105	1
0.9743589744	1
0.975	1
0.9756097561	1
0.9761904762	1
0.976744186	1
0.9772727273	1
0.9777777778	1
0.9782608696	1
0.9787234043	1
0.9791666667	1
0.9795918367	1
0.98	1
0.9803921569	1
0.9807692308	1
0.9811320755	1
0.9814814815	1
0.9818181818	1
0.9821428571	1
0.9824561404	1
0.9827586207	1
0.9830508475	1
0.9833333333	1
0.9836065574	1
0.9838709677	1
0.9841269841	1
0.984375	1
0.9846153846	1
0.9848484848	1
0.9850746269	1
0.9852941176	1
0.9855072464	1
0.9857142857	1
0.985915493	1
0.9861111111	1
0.9863013699	1
0.9864864865	1
0.9866666667	1
0.9868421053	1
0.987012987	1
0.9871794872	1
0.9873417722	1
0.9875	1
0.987654321	1
0.987804878	1
0.9879518072	1
0.9880952381	1
0.9882352941	1
0.988372093	1
0.9885057471	1
0.9886363636	1
0.9887640449	1
0.9888888889	1
0.989010989	1
0.9891304348	1
0.9892473118	1
0.9893617021	1
0.9894736842	1
0.9895833333	1
0.9896907216	1
0.9897959184	1
0.9898989899	1
0.99	1
0.9900990099	1
0.9901960784	1
0.9902912621	1
0.9903846154	1
0.9904761905	1
0.9905660377	1
0.9906542056	1
0.9907407407	1
0.9908256881	1
0.9909090909	1
0.990990991	1
0.9910714286	1
0.9911504425	1
0.9912280702	1
0.9913043478	1
0.9913793103	1
0.9914529915	1
0.9915254237	1
0.9915966387	1
0.9916666667	1
0.9917355372	1
0.9918032787	1
0.9918699187	1
0.9919354839	1
0.992	1
0.9920634921	1
0.9921259843	1
0.9921875	1
0.992248062	1
0.9923076923	1
0.9923664122	1
0.9924242424	1
0.992481203	1
0.9925373134	1
0.9925925926	1
0.9926470588	1
0.9927007299	1
0.9927536232	1
0.9928057554	1
