%0.01689007775	0.01020056317
%0.9936578689	0.9968674525
%Normed hits	Normed Secret Hits
0.947826087	0.9869565217
0.9480519481	0.987012987
0.9482758621	0.9870689655
0.9484978541	0.9871244635
0.9487179487	0.9829059829
0.9489361702	0.9829787234
0.9491525424	0.9830508475
0.9493670886	0.9831223629
0.9495798319	0.9831932773
0.949790795	0.9832635983
0.95	0.9833333333
0.9502074689	0.9834024896
0.9504132231	0.9834710744
0.950617284	0.9835390947
0.9508196721	0.9836065574
0.9510204082	0.9836734694
0.9512195122	0.9837398374
0.951417004	0.983805668
0.9516129032	0.9838709677
0.9518072289	0.983935743
0.952	0.984
0.9521912351	0.984063745
0.9523809524	0.9841269841
0.95256917	0.9841897233
0.9527559055	0.9842519685
0.9529411765	0.9843137255
0.953125	0.984375
0.953307393	0.9844357977
0.9534883721	0.984496124
0.9536679537	0.9845559846
0.9538461538	0.9846153846
0.9540229885	0.9846743295
0.9541984733	0.9847328244
0.9543726236	0.9847908745
0.9507575758	0.9848484848
0.9471698113	0.9849056604
0.9473684211	0.984962406
0.9475655431	0.9850187266
0.9440298507	0.9850746269
0.9405204461	0.9851301115
0.9407407407	0.9851851852
0.9409594096	0.9852398524
0.9411764706	0.9852941176
0.9413919414	0.9853479853
0.9416058394	0.9854014599
0.9418181818	0.9818181818
0.9420289855	0.9782608696
0.9422382671	0.9783393502
0.9424460432	0.9784172662
0.9426523297	0.9784946237
0.9428571429	0.9785714286
0.9395017794	0.9786476868
0.9397163121	0.9787234043
0.9399293286	0.9787985866
0.9401408451	0.9753521127
0.9403508772	0.9754385965
0.9405594406	0.9755244755
0.9407665505	0.9756097561
0.9409722222	0.9756944444
0.9411764706	0.9757785467
0.9413793103	0.975862069
0.941580756	0.9759450172
0.9417808219	0.9760273973
0.9419795222	0.976109215
0.9421768707	0.9761904762
0.9423728814	0.9762711864
0.9425675676	0.9763513514
0.9427609428	0.9764309764
0.9429530201	0.9765100671
0.9431438127	0.9765886288
0.9433333333	0.9766666667
0.9435215947	0.976744186
0.9437086093	0.9768211921
0.9438943894	0.9768976898
0.9440789474	0.9769736842
0.9442622951	0.9770491803
0.9444444444	0.977124183
0.9446254072	0.9771986971
0.9448051948	0.9772727273
0.9449838188	0.9773462783
0.9451612903	0.9774193548
0.9453376206	0.9774919614
0.9455128205	0.9775641026
0.945686901	0.9776357827
0.9458598726	0.9777070064
0.946031746	0.9777777778
0.9462025316	0.9778481013
0.9463722397	0.9779179811
0.9465408805	0.9779874214
0.9467084639	0.9780564263
0.946875	0.975
0.9470404984	0.9750778816
0.9472049689	0.9751552795
0.9473684211	0.9752321981
0.9475308642	0.975308642
0.9476923077	0.9753846154
0.9478527607	0.9754601227
0.9480122324	0.9755351682
0.9481707317	0.9756097561
0.9483282675	0.9756838906
0.9484848485	0.9757575758
0.9486404834	0.9758308157
0.9487951807	0.9759036145
0.9489489489	0.975975976
0.9491017964	0.9760479042
0.9492537313	0.976119403
0.9494047619	0.9761904762
0.9495548961	0.9732937685
0.949704142	0.9704142012
0.9498525074	0.9675516224
0.95	0.9676470588
0.9501466276	0.9677419355
0.9502923977	0.9678362573
0.9504373178	0.9679300292
0.9505813953	0.9651162791
0.9507246377	0.9623188406
0.950867052	0.9595375723
0.9510086455	0.9596541787
0.9511494253	0.9597701149
0.9512893983	0.9570200573
0.9514285714	0.9542857143
0.9515669516	0.9515669516
0.9517045455	0.9488636364
0.9518413598	0.9490084986
0.9519774011	0.9491525424
0.9521126761	0.9492957746
0.952247191	0.9494382022
0.9523809524	0.9495798319
0.9525139665	0.9497206704
0.9526462396	0.9470752089
0.9527777778	0.9472222222
0.9529085873	0.9473684211
0.953038674	0.9475138122
0.9531680441	0.9476584022
0.9532967033	0.9478021978
0.9534246575	0.9479452055
0.9535519126	0.9480874317
0.9536784741	0.9455040872
0.9538043478	0.9456521739
0.9539295393	0.945799458
0.9540540541	0.9459459459
0.9541778976	0.9460916442
0.9543010753	0.9462365591
0.9544235925	0.9463806971
0.9545454545	0.9465240642
0.9546666667	0.9466666667
0.954787234	0.9468085106
0.9549071618	0.9469496021
0.955026455	0.9470899471
0.9551451187	0.9472295515
0.9552631579	0.9473684211
0.9553805774	0.9475065617
0.9554973822	0.9476439791
0.955613577	0.9477806789
0.9557291667	0.9479166667
0.9558441558	0.9480519481
0.9559585492	0.9481865285
0.9560723514	0.9483204134
0.956185567	0.9484536082
0.9562982005	0.9485861183
0.9564102564	0.9487179487
0.9565217391	0.9488491049
0.9566326531	0.9489795918
0.9567430025	0.9491094148
0.9568527919	0.9492385787
0.9569620253	0.9493670886
0.9570707071	0.9494949495
0.9571788413	0.9496221662
0.9572864322	0.9472361809
0.9573934837	0.9473684211
0.9575	0.9475
0.957605985	0.9476309227
0.9577114428	0.947761194
0.9578163772	0.9478908189
0.9579207921	0.948019802
0.9580246914	0.9481481481
0.9581280788	0.9482758621
0.9582309582	0.9484029484
0.9583333333	0.9485294118
0.9584352078	0.9486552567
0.9585365854	0.9487804878
